,Accuracy,F1 Score,Theil Index,False Positive Rate - Unprivileged,False Positive Rate - Privileged,False Negative Rate - Unprivileged,False Negative Rate - Privileged,Accuracy - Unprivileged,Accuracy - Privileged,False Discovery Rate - Unprivileged,False Discovery Rate - Privileged,False Omission Rate - Unprivileged,False Omission Rate - Privileged,Num True Pos,Num True Neg,Num False Pos,Num False Neg,Num True Pos - Privileged,Num True Neg - Privileged,Num False Pos - Privileged,Num False Neg - Privileged,Num True Pos - Unprivileged,Num True Neg - Unprivileged,Num False Pos - Unprivileged,Num False Neg - Unprivileged,F1 Score - Privileged,F1 Score - Unprivileged,Privileged base Rate,Unprivileged base Rate,Consistency
EGR + CEOP - 3,0.6602,0.6998,0.22,0.4204,0.3889,0.2458,0.347,0.6723,0.6359,0.3297,0.2908,0.3246,0.452,733.0,489.0,341.0,288.0,239.0,154.0,98.0,127.0,494.0,335.0,243.0,161.0,0.6799,0.7098,0.5453,0.5977,0.8387
EGR + CEOP - 11,0.6451,0.705,0.1891,0.5226,0.4768,0.211,0.2565,0.638,0.6591,0.3838,0.2846,0.3198,0.4414,785.0,409.0,425.0,232.0,284.0,124.0,113.0,98.0,501.0,285.0,312.0,134.0,0.7291,0.692,0.6414,0.6599,0.8406
EGR + CEOP - 17,0.6251,0.6778,0.2192,0.5329,0.3863,0.2055,0.3879,0.6314,0.6127,0.3995,0.2703,0.3073,0.5185,730.0,427.0,414.0,280.0,243.0,143.0,90.0,154.0,487.0,284.0,324.0,126.0,0.6658,0.684,0.5286,0.6642,0.8416
EGR + ROC - 3,0.6602,0.6875,0.2441,0.3651,0.3532,0.2931,0.3743,0.6732,0.6343,0.3131,0.2799,0.3435,0.4567,692.0,530.0,300.0,329.0,229.0,163.0,89.0,137.0,463.0,367.0,211.0,192.0,0.6696,0.6968,0.5146,0.5466,0.8385
EGR + ROC - 11,0.658,0.7108,0.1919,0.4707,0.4768,0.222,0.2565,0.6575,0.6591,0.3626,0.2846,0.3085,0.4414,778.0,440.0,394.0,239.0,284.0,124.0,113.0,98.0,494.0,316.0,281.0,141.0,0.7291,0.7007,0.6414,0.6291,0.8528
EGR + ROC - 17,0.6407,0.6643,0.2608,0.3684,0.382,0.323,0.3879,0.6544,0.6143,0.3505,0.2681,0.3402,0.5168,658.0,528.0,313.0,352.0,243.0,144.0,89.0,154.0,415.0,384.0,224.0,198.0,0.6667,0.6629,0.527,0.5233,0.8498
GSR - 3,0.6721,0.7108,0.2109,0.3478,0.5198,0.2962,0.2213,0.6796,0.657,0.3036,0.3149,0.3398,0.401,746.0,498.0,332.0,275.0,285.0,121.0,131.0,81.0,461.0,377.0,201.0,194.0,0.7289,0.7001,0.6731,0.5369,0.8498
GSR - 11,0.6737,0.7217,0.1872,0.3953,0.5654,0.2551,0.1885,0.6769,0.6672,0.3329,0.3018,0.3098,0.4114,783.0,464.0,370.0,234.0,310.0,103.0,134.0,72.0,473.0,361.0,236.0,162.0,0.7506,0.7039,0.7173,0.5755,0.859
GSR - 17,0.6677,0.7106,0.2,0.3816,0.5494,0.2741,0.2191,0.6724,0.6587,0.3427,0.2922,0.3088,0.4531,755.0,481.0,360.0,255.0,310.0,105.0,128.0,87.0,445.0,376.0,232.0,168.0,0.7425,0.6899,0.6952,0.5545,0.8595
GSR + EOP - 3,0.6461,0.7108,0.1797,0.5398,0.504,0.1954,0.2404,0.6431,0.6521,0.3719,0.3136,0.3249,0.4131,805.0,391.0,439.0,216.0,278.0,125.0,127.0,88.0,527.0,266.0,312.0,128.0,0.7211,0.7055,0.6553,0.6805,0.7864
GSR + EOP - 11,0.6424,0.7134,0.1667,0.5611,0.5654,0.1795,0.2068,0.6356,0.6559,0.3914,0.3066,0.3032,0.4341,824.0,365.0,469.0,193.0,303.0,103.0,134.0,79.0,521.0,262.0,335.0,114.0,0.7399,0.6989,0.706,0.6948,0.808
GSR + EOP - 17,0.6494,0.7083,0.1829,0.4984,0.5322,0.2072,0.2393,0.6478,0.6524,0.384,0.2911,0.294,0.4657,788.0,414.0,427.0,222.0,302.0,109.0,124.0,95.0,486.0,305.0,303.0,127.0,0.7339,0.6933,0.6762,0.6462,0.8099
GSR + CEOP - 3,0.6721,0.7114,0.2097,0.3478,0.5278,0.2962,0.2158,0.6796,0.657,0.3036,0.3167,0.3398,0.399,748.0,496.0,334.0,273.0,287.0,119.0,133.0,79.0,461.0,377.0,201.0,194.0,0.7303,0.7001,0.6796,0.5369,0.8474
GSR + CEOP - 11,0.6715,0.7208,0.1864,0.4054,0.5654,0.252,0.1885,0.6737,0.6672,0.3375,0.3018,0.3107,0.4114,785.0,458.0,376.0,232.0,310.0,103.0,134.0,72.0,475.0,355.0,242.0,160.0,0.7506,0.7027,0.7173,0.582,0.8556
GSR + CEOP - 17,0.6694,0.7132,0.1963,0.3816,0.5622,0.2741,0.204,0.6724,0.6635,0.3427,0.2931,0.3088,0.4426,761.0,478.0,363.0,249.0,316.0,102.0,131.0,81.0,445.0,376.0,232.0,168.0,0.7488,0.6899,0.7095,0.5545,0.8558
GSR + ROC - 3,0.6672,0.6883,0.2499,0.3322,0.3294,0.3191,0.3607,0.6748,0.6521,0.3009,0.2618,0.3513,0.4385,680.0,555.0,275.0,341.0,234.0,169.0,83.0,132.0,446.0,386.0,192.0,209.0,0.6852,0.6899,0.5129,0.5174,0.8415
GSR + ROC - 11,0.6515,0.6734,0.2591,0.3451,0.3671,0.3354,0.3639,0.6599,0.6349,0.328,0.2636,0.3526,0.481,665.0,541.0,293.0,352.0,243.0,150.0,87.0,139.0,422.0,391.0,206.0,213.0,0.6826,0.6683,0.5331,0.5097,0.8479
GSR + ROC - 17,0.6542,0.6813,0.2432,0.3635,0.3991,0.2871,0.3778,0.6749,0.6143,0.3359,0.2735,0.3126,0.5172,684.0,527.0,314.0,326.0,247.0,140.0,93.0,150.0,437.0,387.0,221.0,176.0,0.6703,0.6876,0.5397,0.5389,0.8552
